,review,predicted,label
4,"brass,pictures,movies,fitting,word,somewhat,brassy,alluring,visual,qualities,reminiscent,expensive,high,class,tv,commercials,unfortunately,brass,pictures,feature,films,pretense,wanting,entertain,viewers,hours,fail,miserably,undeniable,soft,flabby,steamy,erotic,qualities,non,withstandingbr,senso,remake,film,luchino,visconti,title,alida,valli,farley,granger,lead,original,tells,story,senseless,love,lust,venice,italian,wars,independence,brass,moved,action,th,th,century,exact,mussolini,murals,men,black,shirts,german,uniforms,tattered,garb,partisans,window,dressing,historic,context,completely,negligiblebr,anna,galiena,plays,attractive,aristocratic,woman,falls,amoral,ss,guy,puts,lipstick,attractive,versatile,trained,italian,actress,clearly,material,wide,range,facial,expressions,signalling,boredom,loathing,delight,fear,hate,ecstasy,best,reason,watch,picture,worth,stars,endures,basically,trashy,stuff,astonishing,dignity,wish,good,parts,come,deserves",pos,neg
9,"wealthy,horse,ranchers,buenos,aires,longstanding,notrading,policy,crawfords,manhattan,happens,mustachioed,latin,son,falls,certain,crawford,bright,eyes,blonde,hair,perky,moves,dance,floor,th,centuryfox,musical,glossy,veneer,bit,tatty,edges,heavy,frenetic,gymnasticlike,dancing,exceedingly,thin,story,betty,grable,eleventh,hour,replacement,alice,faye,gives,boost,shes,paired,leaden,don,ameche,tan,makeup,slick,hair,good,charlotte,greenwood,bettys,pithy,aunt,limousine,driver,whos,constantly,asleep,job,carmen,miranda,playing,stock,shots,argentina,far,outclass,action,filmed,fox,backlot,supporting,performances,awful,time,big,horserace,finale,viewers",pos,neg
17,"earth,destroyed,nuclear,holocaust,parts,earth,italy,band,purebred,survivorsthose,radioactive,contaminationare,holed,massive,mansion,surrounded,lush,grounds,waiting,opportunity,hunting,polluted,blood,final,executioner,story,victims,alan,william,mang,looks,surprisingly,lot,like,kurt,russell,efforts,legally,sanctioned,hunters,led,edra,marina,costa,erasmus,harrison,muller,jr,alan,trained,kill,nypd,cop,sam,woody,strode,hangs,giving,pupil,moral,support,mooching,tinned,meat,strode,far,best,thing,film,doesnt,look,appears,running,time,story,blending,elements,better,films,stories,including,little,indians,dangerous,game,escape,new,york,final,executioner,moves,fair,pace,provides,reasonable,entertainment,discriminate,action,fans",pos,neg
19,"new,york,family,neighborhood,television,set,nearly,ruins,david,nivens,marriage,mitzi,gaynor,bedroom,comedy,rarely,ventures,bedroomand,sexy,happens,gaynor,actress,range,ovenshe,turns,turns,films,sole,compensation,supporting,performance,perky,patty,duke,premiracle,worker,nivens,daughter,shes,delightful,happy,anniversary",pos,neg
22,"im,huge,fan,emily,watson,breaking,waves,tom,wilkinson,normal,amused,upstaged,rupert,everett,dellamorte,dellamore,shockingly,minor,movie,ingredients,brief,scenes,portrays,languid,infinitely,entitled,worthless,son,rich,lord,spoton,entertaining,love,triangle,remarkably,little,chemistry,speak,music,annoyingly,movieoftheweek,quality,voiceover,jarring,totally,unnecessary,clearly,work,firsttime,director,small,budget,lacked,didnt,sufficiently,heed,good,advice,badbr,appreciate,people,kind,hate,beginning,ones,kind,like,end,viceversa,sort,character,arc,terms,perception,example,watsons,character,refreshingly,honest,husband,feelings,man,began,grate,near,end,particularly,announced,husband,simply,absolutely,control,actions,later,simply,declared,moving,marital,flat,asking,permission,apologies,offered,went,disliking,wilkinsons,control,freak,moral,relativist,character,sort,understanding,wanting,change,unlike,wifebr,movie,awkwardly,morphed,whodunit,love,story,steel,magnolias,illness,drama,sufficiently,informing,fact,left,distractedly,guessing,plot,twist,long,revealed,lord,driving,car,lords,dog,scene,lord,visits,wilkinson,relates,brave,watson,bestest,nurse,dying,boyfriend,ask,florence,nightingale,incarnate,etc,ok,started,overthetop,sobbing,like,baby,good,god,ask,shes,flitty,rich,person,way,time,hands,drives,hard,working,providing,spouse,crazy,unnecessary,drama,screwing,way,occupy,life,dying,guy,thing,added,bonus,previous,actions,completely,reproachbr,look,better,wilkinson,left,secretary,appreciate,instead,acted,like,abused,dog,open,craving,wifes,affection,increasing,kick,gives,im,anti,pc,didnt,ring,true,taking,account,harsh,realities,middle,age,tend,face,ending,directors,intention,certain,depressing,movie,spent,minutes,convincing,people,dont,belong,found,joy,promise,relationship,continuing,im,wanting,emotions,manipulated,story,somewhat,plausible,hackneyed,asking,muchbr,score",pos,neg
44,"tale,upperclasses,getting,comeuppance,wallowing,highclass,misery,like,contemporary,midsommerish,version,old,joan,crawford,movie,suffered,mink,people,behave,frightfully,civilized,manner,face,adversity,wellheeled,london,solicitor,tom,wilkinson,discovers,wife,having,affair,local,gentry,killed,housekeepers,husband,hitandrun,accident,throws,stiffupperlip,hardly,quaversbr,written,directed,julian,fellowes,won,oscar,writing,gosford,park,directorial,debut,novel,nigel,balchin,comical,sure,comedy,intended,like,throwback,british,films,forties,characters,behaved,like,characters,books,plays,like,people,real,life,bad,wilkinson,terrific,believe,person,emily,watson,adulterous,wife,rupert,everett,highly,amoral,highclass,totty,good,covering,cracks,material,tony,pierceroberts,cinematography,ensures,matter,hard,ear,good,eye",pos,neg
45,"filmmaker,stayed,true,accurate,account,story,published,includes,manuscript,richard,williams,bell,son,john,lucy,bell,younger,brother,betsy,bell,titled,family,trouble,knowledge,eyewitness,account,penned,filmmaker,credited,accuracy,little,production,acting,quality,acting,theatrical,sound,picture,quality,extremely,poor,appears,filmmaker,simply,shot,scenes,reported,events,took,place,incorporating,weaving,flowing,plot,story,line,know,story,read,gripping,conclusive",pos,neg
56,"time,time,advisable,aristocracy,watch,silent,film,harsh,life,common,people,order,remind,privileges,comfortable,life,enjoyed,beginning,mankind,comparison,complicated,hard,work,common,people,endure,everyday,aristocrats,rule,worldbr,thats,happens,love,light,film,directed,dame,france,marion,famous,silent,talkie,world,thanks,overall,work,screenwriter,better,certainly,career,film,director,doesnt,impress,german,countbr,film,tells,story,dame,angela,carlotti,dame,mary,pickford,merry,italian,girl,lives,surrounded,picturesque,squalor,important,difference,opinion,upper,low,classes,aristocrats,prefers,live,surrounded,picturesque,luxury,brothers,secret,admirer,gives,return,indifference,destiny,begins,work,hard,pretty,soon,war,declared,dame,angelas,brothers,enlist,reel,dead,destiny,crueller,dame,angela,falls,love,german,things,worse,doesnt,know,teutonic,sweetie,spy,light,signals,sends,night,lighthouse,maintains,thinking,love,signal,dont,mean,ich,liebe,dich,sink,damn,italian,boat,seabr,fortunately,dame,angela,pretty,soon,sweetie,german,spy,found,neighbours,house,hiding,strange,fact,easy,task,german,unnoticed,german,spy,prefer,die,captured,italiansbr,german,love,halfteutonic,baby,born,wicked,destiny,speed,greedy,neighbour,particular,idea,motherhood,carry,away,son,consent,catholic,nun,taken,council,trent,extremes,fact,dame,angela,verge,insanitybr,dame,angelas,secret,admirer,returned,war,think,finally,dame,angelas,sorrowful,life,improve,tremendous,mistake,destiny,store,returned,soldier,blind,germany,blessing,disguise,finally,dame,angela,recover,son,start,new,life,blind,sweetie,poor,italian,village,supposed,happy,ending,common,peoplebr,german,count,said,better,dame,frances,marion,continued,career,screenwriter,seen,love,light,lot,imagination,invent,incredible,stories,ja,wohl,completely,different,subject,direct,films,silent,debut,lacks,emotion,rhythm,spite,effort,dame,pickford,involve,audience,disgraces,nonexistent,film,narrative,causes,indifference,spectator,making,kind,film,dame,pickford,provides,interest,circumstancesbr,youll,allow,temporarily,leave,german,count,send,morse,signals,schloss,north,tower,teutonic,rich,heiress",pos,neg
59,"caution,spoiler,end,movie,announced,bridge,collapsed,days,captured,impression,attack,reality,taking,bridge,remagen,important,victory,western,allies,crossing,rhine,allies,trying,achieve,months,remagen,bridge,taken,war,ended,weeksbr,bridge,need,day,captured,time,americans,send,combat,engineers,large,protective,force,start,building,series,pontoon,bridges,taking,bridge,complete,success,meant,end,war,near,summer,contrary,cynical,nature,film,victory,heralded,elation,troops,knew,vital,battle,wasbr,film,little,real,history,reflection,cynical,nature,time,produced",pos,neg
62,"filmed,arizona,mostlyforeign,crew,nightkill,clumsiest,crime,dramas,seen,robert,mitchum,cowboy,hat,trails,recentlywidowed,jaclyn,smith,hoping,figure,hand,husbands,death,jaclyns,wardrobe,dale,evans,variety,dog,named,cowboyseems,somebody,sure,bought,american,myth,westerners,talk,dress,like,descendants,john,wayne,screenplay,joan,andre,john,case,worked,better,approached,parody,mystery,thriller,plays,tame,director,ted,post,asleep,controls,dont,drawn,video,box,art,jaclyn,screaming,taking,shower,shower,film,revealing,murky,plot,iota,stars",pos,neg
